,24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Annual Member Sign-Ups (midnight to 11:59 pm),Cumulative trips (since launch):,Date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members,Trips over the past 24-hours (midnight to 11:59pm)
0,0.0,0.0,2043,9767,5/27/2013,"21,533",21.533,17216,9767
1,0.0,0.0,2598,14982,5/28/2013,"30,313",8.78,19816,5215
2,0.0,0.0,2167,25963,5/29/2013,"52,211",21.898000000000003,21986,10981
3,0.0,0.0,1998,35813,5/30/2013,"72,532",20.320999999999998,23985,9850
4,0.0,0.0,1630,45066,5/31/2013,"92,775",20.243,25615,9253
5,0.0,0.0,1141,54918,6/1/2013,"119,122",26.346999999999998,26756,9852
6,4723.0,289.0,1496,72508,6/2/2013,"171,266",52.143,28253,17590
7,1160.0,221.0,1363,81107,6/3/2013,"190,173",18.907,29616,8599
8,2922.0,394.0,1479,98696,6/4/2013,"238,839",48.666000000000004,31095,17589
9,2821.0,279.0,1530,116129,6/5/2013,"283,757",44.917,32620,17433
10,1872.0,210.0,1334,129861,6/6/2013,"314,743",30.987,33954,13732
11,66.0,11.0,495,131254,6/7/2013,"316,809",2.065,34449,1393
12,5013.0,230.0,784,151153,6/8/2013,"371,473",54.665,35233,19899
13,5772.0,275.0,1062,174389,6/9/2013,"443,077",71.604,36295,23236
14,290.0,82.0,791,178893,6/10/2013,"453,215",10.138,37086,4504
15,1836.0,273.0,808,193531,6/11/2013,"487,845",34.63,37894,14638
16,2767.0,316.0,911,212491,6/12/2013,"533,559",45.714,38805,18960
17,701.0,119.0,637,221273,6/13/2013,"548,634",15.075,39442,8782
18,2268.0,211.0,636,237696,6/14/2013,"582,614",33.98,40078,16423
19,6107.0,319.0,624,264972,6/15/2013,"655,406",72.792,40702,27276
20,4413.0,314.0,839,288582,6/16/2013,"714,979",59.573,41541,23610
21,2378.0,530.0,1023,309860,6/17/2013,"758,876",43.897,42564,21278
22,1236.0,277.0,830,324686,6/18/2013,"786,546",27.67,43394,14826
23,2678.0,607.0,829,350953,6/19/2013,"840,951",54.405,44223,26267
24,2814.0,421.0,801,379947,6/20/2013,"900,886",59.935,45024,28994
25,3465.0,408.0,791,410607,6/21/2013,"965,759",64.872,45815,30660
26,5902.0,383.0,633,442492,6/22/2013,"1,046,191",80.433,46448,31885
27,4959.0,279.0,755,473145,6/23/2013,"1,122,641",76.45,47203,30653
28,1844.0,386.0,932,499781,6/24/2013,"1,173,305",50.663999999999994,48135,26636
29,1937.0,343.0,780,530207,6/25/2013,"1,229,380",56.075,48915,30426
30,2000.0,301.0,750,562529,6/26/2013,"1,289,043",59.663000000000004,49665,32322
31,1680.0,223.0,690,590623,6/27/2013,"1,344,304",55.26,50355,28094
32,2268.0,291.0,674,621218,6/28/2013,"1,402,340",58.037,51029,30595
33,4895.0,296.0,476,654165,6/29/2013,"1,479,567",77.226,51505,32947
34,3592.0,178.0,620,681450,6/30/2013,"1,540,619",61.052,52125,27285
35,846.0,167.0,597,701601,7/1/2013,"1,576,787",36.168,52722,20151
36,1435.0,219.0,588,728283,7/2/2013,"1,625,520",48.733000000000004,53310,26682
37,1419.0,189.0,438,753792,7/3/2013,"1,671,537",46.016000000000005,53748,25509
38,4219.0,257.0,325,779796,7/4/2013,"1,735,210",63.674,54073,26004
39,2803.0,215.0,434,805337,7/5/2013,"1,788,629",53.419,54507,25541
40,3178.0,172.0,336,829034,7/6/2013,"1,842,391",53.761,54843,23697
41,2703.0,186.0,441,852722,7/7/2013,"1,893,025",50.63399999999999,55284,23688
42,1453.0,321.0,687,878785,7/8/2013,"1,942,856",49.831,55971,26063
43,1379.0,287.0,639,909714,7/9/2013,"1,998,355",55.498999999999995,56610,30929
44,1435.0,223.0,584,940419,7/10/2013,"2,054,304",55.948,57194,30705
45,1478.0,196.0,531,970108,7/11/2013,"2,110,697",56.393,57725,29689
46,1096.0,118.0,408,992925,7/12/2013,"2,150,667",39.97,58133,22817
47,3285.0,213.0,362,1023057,7/13/2013,"2,215,501",64.833,58495,30132
48,3681.0,224.0,459,1056602,7/14/2013,"2,290,520",75.02,58954,33545
49,1382.0,273.0,639,1089167,7/15/2013,"2,348,275",57.755,59593,32565
50,1288.0,251.0,536,1123924,7/16/2013,"2,410,132",61.856,60129,34757
51,1303.0,201.0,490,1159096,7/17/2013,"2,470,829",60.698,60619,35172
52,1094.0,143.0,389,1192318,7/18/2013,"2,527,057",56.228,61008,33222
53,1389.0,164.0,358,1222985,7/19/2013,"2,579,841",52.784,61366,30667
54,2811.0,169.0,286,1252130,7/20/2013,"2,638,640",58.799,61652,29145
55,3502.0,191.0,422,1286824,7/21/2013,"2,714,950",76.31,62074,34694
56,1005.0,184.0,503,1316611,7/22/2013,"2,765,095",50.145,62577,29787
57,1390.0,220.0,449,1353907,7/23/2013,"2,831,006",65.911,63026,37296
58,1708.0,211.0,440,1394606,7/24/2013,"2,905,475",74.469,63466,40699
59,1163.0,144.0,356,1430813,7/25/2013,"2,967,663",62.188,63822,36207
60,2073.0,176.0,360,1470312,7/26/2013,"3,040,373",72.71,64182,39499
61,4259.0,197.0,313,1507443,7/27/2013,"3,122,643",82.27,64495,37131
62,2391.0,137.0,389,1534223,7/28/2013,"3,176,204",53.562,64884,26780
63,1712.0,275.0,497,1574241,7/29/2013,"3,249,630",73.425,65381,40018
64,1701.0,237.0,474,1617223,7/30/2013,"3,327,547",77.917,65855,42982
65,1692.0,186.0,455,1659968,7/31/2013,"3,404,528",76.982,66310,42745
66,415.0,73.0,334,1682993,8/1/2013,"3,439,323",34.794000000000004,66644,23025
67,2302.0,230.0,383,1723647,8/2/2013,"3,514,713",75.39,67027,40654
68,3417.0,180.0,266,1757820,8/3/2013,"3,588,013",73.3,67293,34173
69,4547.0,261.0,392,1797923,8/4/2013,"3,681,204",93.191,67685,40103
70,1924.0,276.0,557,1839682,8/5/2013,"3,759,968",78.764,68242,41759
71,1778.0,222.0,502,1882656,8/6/2013,"3,839,230",79.262,68744,42974
72,1261.0,183.0,393,1921776,8/7/2013,"3,905,939",66.709,69137,39120
