,24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Cumulative trips (since launch):,Date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Total Annual Memberships Sold,Trips over the past 24-hours (midnight to 11:59pm)
0,267,11,15216843,1/1/2015,26055797,9191,,127279.0,5792
1,298,8,15229214,1/2/2015,26074019,18222,,127293.0,12371
2,96,7,15234048,1/3/2015,26080301,6282,,127300.0,4834
3,152,5,15242557,1/4/2015,26092001,11700,,127308.0,8509
4,88,12,15258349,1/5/2015,26112023,20022,,127336.0,15792
5,2,1,15267832,1/6/2015,26124026,12003,,127354.0,9483
6,5,1,15278517,1/7/2015,26136817,12791,,127363.0,10685
7,18,0,15288294,1/8/2015,26148484,11667,,127372.0,9777
8,16,2,15296925,1/9/2015,26159577,11093,,127376.0,8631
9,51,3,15303751,1/10/2015,26167766,8189,,127383.0,6826
10,68,8,15311955,1/11/2015,26177965,10199,,127395.0,8204
11,27,2,15321396,1/12/2015,26189554,11589,,127408.0,9441
12,23,10,15335530,1/13/2015,26206983,17429,,127418.0,14134
13,43,7,15349926,1/14/2015,26225088,18105,,127427.0,14396
14,64,8,15365389,1/15/2015,26244891,19803,,127434.0,15463
15,94,14,15380448,1/16/2015,26263975,19084,,127441.0,15059
16,152,3,15388691,1/17/2015,26274793,10818,,127453.0,8243
17,12,0,15390729,1/18/2015,26277228,2435,,127461.0,2038
18,124,11,15402642,1/19/2015,26292961,15733,,127470.0,11913
19,93,9,15420257,1/20/2015,26315701,22740,,127502.0,17615
20,67,16,15436991,1/21/2015,26336929,21228,,127520.0,16734
21,74,9,15454426,1/22/2015,26359559,22630,,127530.0,17435
22,95,14,15471506,1/23/2015,26381807,22248,,127545.0,17080
23,41,2,15476781,1/24/2015,26388530,6723,,127552.0,5275
24,202,4,15487016,1/25/2015,26402951,14421,,127559.0,10235
25,15,0,15491553,1/26/2015,26408930,5979,,127566.0,4537
26,36,1,15492958,1/27/2015,26411273,2343,,127569.0,1405
27,12,2,15499181,1/28/2015,26421180,9907,,127575.0,6223
28,31,3,15509026,1/29/2015,26435351,14171,,127586.0,9845
29,21,6,15518969,1/30/2015,26448296,12945,,127595.0,9943
30,38,2,15524721,1/31/2015,26455624,7328,,127596.0,5752
31,72,8,15531935,2/1/2015,26464810,9186,,127608.0,7214
32,6,0,15533621,2/2/2015,26467445,2635,,127608.0,1686
33,5,1,15539064,2/3/2015,26475261,7816,,127612.0,5443
34,27,1,15548918,2/4/2015,26489036,13775,,127624.0,9854
35,13,1,15558895,2/5/2015,26501643,12607,,127630.0,9977
36,26,4,15568229,2/6/2015,26513591,11948,,127635.0,9334
37,83,7,15575575,2/7/2015,26523636,10045,,127640.0,7346
38,65,7,15582755,2/8/2015,26533307,9671,,127642.0,7180
39,10,3,15588472,2/9/2015,26540541,7234,,127646.0,5717
40,36,5,15599761,2/10/2015,26555067,14526,,127652.0,11289
41,46,12,15612214,2/11/2015,26571271,16204,,127657.0,12453
42,45,4,15624865,2/12/2015,26587519,16248,,127667.0,12651
43,28,2,15633460,2/13/2015,26598292,10773,,127674.0,8595
44,54,2,15638584,2/14/2015,26604684,6392,,127678.0,5124
45,12,0,15641421,2/15/2015,26607973,3289,,127681.0,2837
46,19,2,15645921,2/16/2015,26613396,5423,,127682.0,4500
47,14,2,15651210,2/17/2015,26620265,6869,,127683.0,5289
48,35,6,15661211,2/18/2015,26633260,12995,,127693.0,10001
49,14,0,15669696,2/19/2015,26643340,10080,,127696.0,8485
50,14,3,15676521,2/20/2015,26651396,8056,,127700.0,6825
51,24,5,15679974,2/21/2015,26655560,4164,,127701.0,3453
52,55,4,15684628,2/22/2015,26662208,6648,,127706.0,4654
53,11,8,15692971,2/23/2015,26672727,10519,,127714.0,8343
54,12,1,15701454,2/24/2015,26683402,10675,,127729.0,8483
55,49,5,15713511,2/25/2015,26699057,15655,,127739.0,12057
56,26,7,15724558,2/26/2015,26713801,14744,,127747.0,11047
57,57,10,15735419,2/27/2015,26728114,14313,,127753.0,10861
58,71,3,15742255,2/28/2015,26737089,8975,,127754.0,6836
59,37,4,15745424,3/1/2015,26741131,4042,,127763.0,3169
60,27,3,15753443,3/2/2015,26751898,10767,,127770.0,8019
61,18,2,15760621,3/3/2015,26761328,9430,,127775.0,7178
62,28,4,15768886,3/4/2015,26772170,10842,,127779.0,8265
63,4,0,15770707,3/5/2015,26774774,2604,,127784.0,1821
64,19,6,15776660,3/6/2015,26783022,8248,,127792.0,5953
