,24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Cumulative trips (since launch):,Date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Trips over the past 24-hours (midnight to 11:59pm)
0,1237,33,,,1/1/17,,50761,206624,16009
1,142,15,,,1/2/17,,21545,206675,8921
2,42,15,,,1/3/17,,25879,206728,14198
3,475,29,,,1/4/17,,69966,206778,34039
4,214,17,,,1/5/17,,52446,206845,28393
5,157,17,,,1/6/17,,48964,206879,24177
6,21,4,,,1/7/17,,23556,206892,4425
7,27,2,,,1/8/17,,22756,206907,6417
8,30,2,,,1/9/17,,35209,206933,15856
9,67,12,,,1/10/17,,46216,206955,23232
10,208,37,,,1/11/17,,63099,206981,32419
11,479,30,,,1/12/17,,84763,207021,39783
12,373,43,,,1/13/17,,75847,207059,33611
13,252,33,,,1/14/17,,43090,207087,13819
14,476,19,,,1/15/17,,50738,207120,17384
15,448,30,,,1/16/17,,51664,207163,24110
16,63,15,,,1/17/17,,40697,207198,18646
17,146,17,,,1/18/17,,57978,207224,30857
18,391,27,,,1/19/17,,72077,207262,36561
19,184,19,,,1/20/17,,56479,207288,26752
20,957,31,,,1/21/17,,64662,207336,26610
21,520,25,,,1/22/17,,49368,207368,20523
22,54,20,,,1/23/17,,37687,207399,15822
23,28,5,,,1/24/17,,35619,207414,13171
24,301,29,,,1/25/17,,71418,207453,36931
25,223,28,,,1/26/17,,63750,207501,33002
26,231,23,,,1/27/17,,70189,207540,32394
27,402,25,,,1/28/17,,53955,207567,21302
28,585,26,,,1/29/17,,62854,207620,22527
29,163,32,,,1/30/17,,59975,207673,29616
30,62,19,,,1/31/17,,48684,207706,25169
31,194,22,,,2/1/17,,77639,207749,35221
32,216,27,,,2/2/17,,70727,207793,34517
33,181,32,,,2/3/17,,64701,207825,29632
34,413,14,,,2/4/17,,45120,207861,19204
35,337,19,,,2/5/17,,50532,207890,20059
36,305,49,,,2/6/17,,72513,207930,33415
37,54,17,,,2/7/17,,57760,207962,23053
38,483,32,,,2/8/17,,90430,208011,40428
39,0,0,,,2/9/17,,0,208018,0
40,15,1,,,2/10/17,,8344,208030,1997
41,170,13,,,2/11/17,,26272,208037,8959
42,26,5,,,2/12/17,,26468,208054,5801
43,72,18,,,2/13/17,,58710,208076,23857
44,154,16,,,2/14/17,,78530,208099,29668
45,170,30,,,2/15/17,,72383,208137,32052
46,104,16,,,2/16/17,,63551,208163,29120
47,247,37,,,2/17/17,,67530,208200,28735
48,2078,114,,,2/18/17,,99126,208258,30571
49,3746,122,,,2/19/17,,125166,208347,36963
50,1512,75,,,2/20/17,,91412,208436,32292
51,308,48,,,2/21/17,,84767,208516,32643
52,439,36,,,2/22/17,,90651,208594,38119
53,828,88,,,2/23/17,,98554,208658,42434
54,1534,119,,,2/24/17,,117155,208767,47031
55,2035,77,,,2/25/17,,104309,208886,33345
56,849,33,,,2/26/17,,75196,208966,24713
57,388,42,,,2/27/17,,80194,209035,35984
58,504,60,,,2/28/17,,92642,209119,41835
59,393,51,,,3/1/17,,85944,209229,40592
60,320,44,,,3/2/17,,73839,209310,35739
61,292,39,,,3/3/17,,68702,209370,31105
62,252,14,,,3/4/17,,43108,209404,15646
63,312,22,,,3/5/17,,50924,209451,15919
64,321,39,,,3/6/17,,72776,209536,32467
65,181,29,,,3/7/17,,63654,209587,29683
66,694,55,,,3/8/17,,101573,209656,43470
67,764,34,,,3/9/17,,99450,209728,45251
68,95,15,,,3/10/17,,41971,209758,18412
69,183,27,,,3/11/17,,48379,209781,15185
70,167,9,,,3/12/17,,38114,209799,13442
71,205,14,,,3/13/17,,58768,209827,27417
72,0,0,,,3/14/17,,0,209843,0
73,0,0,,,3/15/17,,0,209859,0
74,0,0,,,3/16/17,,0,209870,0
75,151,15,,,3/17/17,,25393,209888,7098
76,93,6,,,3/18/17,,17446,209910,4106
77,339,21,,,3/19/17,,33344,209943,10550
78,288,21,,,3/20/17,,60363,210002,27378
79,479,47,,,3/21/17,,78104,210073,36824
80,140,15,,,3/22/17,,55713,210121,26927
81,291,25,,,3/23/17,,74345,210160,29885
82,485,39,,,3/24/17,,82681,210199,34019
83,1721,60,,,3/25/17,,86293,210267,29647
84,546,30,,,3/26/17,,55139,210318,19893
85,318,40,,,3/27/17,,59614,210388,26301
86,91,20,,,3/28/17,,46003,210448,21590
87,830,97,,,3/29/17,,91525,210559,42430
88,669,61,,,3/30/17,,91041,210623,39746
89,20,5,,,3/31/17,,23462,210670,6946
0,1113,0,82.0,26384204,4/1/2016,48286873,67595,163963,34448
1,1193,0,63.0,26406042,4/2/2016,48333079,46206,164031,21838
2,448,0,31.0,26421363,4/3/2016,48361694,28615,164102,15321
3,49,0,19.0,26433665,4/4/2016,48381837,20143,164167,12302
4,341,0,56.0,26459901,4/5/2016,48425560,43723,164237,26236
5,443,0,37.0,26489265,4/6/2016,48474461,48901,164310,29364
6,280,0,65.0,26519665,4/7/2016,48529052,54591,164366,30400
7,542,0,51.0,26550476,4/8/2016,48582091,53039,164425,30811
8,346,0,21.0,26563174,4/9/2016,48603242,21151,164455,12698
9,1508,0,48.0,26586402,4/10/2016,48652432,49190,164536,23228
10,668,0,82.0,26618450,4/11/2016,48711638,59206,164632,32048
11,316,0,50.0,26642215,4/12/2016,48755142,43504,164703,23765
12,761,0,106.0,26679753,4/13/2016,48826930,71788,164790,37538
13,963,0,93.0,26718255,4/14/2016,48915208,88278,164885,38502
14,1273,0,118.0,26757931,4/15/2016,49002189,86981,164996,39676
15,3726,0,141.0,26794079,4/16/2016,49104417,102228,165139,36148
16,4348,0,190.0,26832917,4/17/2016,49220222,115805,165354,38838
17,1595,0,197.0,26876906,4/18/2016,49322952,102730,165576,43989
18,1130,0,184.0,26922981,4/19/2016,49430467,107515,165812,46075
19,1160,0,116.0,26967523,4/20/2016,49534716,104249,166002,44542
20,1307,0,149.0,27013091,4/21/2016,49639200,104484,166153,45568
21,4230,0,105.0,27061897,4/22/2016,49752756,113556,166319,48806
22,3309,0,155.0,27095528,4/23/2016,49849030,96274,166462,33631
23,4026,0,177.0,27133390,4/24/2016,49964162,115132,166692,37862
24,1698,0,170.0,27175693,4/25/2016,50065087,100925,166902,42303
25,741,0,97.0,27210332,4/26/2016,50140541,75454,167048,34639
26,1395,0,110.0,27252263,4/27/2016,50233813,93272,167196,41931
27,927,0,95.0,27289691,4/28/2016,50308670,74857,167311,37428
28,1051,0,122.0,27324569,4/29/2016,50386690,78020,167439,34878
29,4244,0,165.0,27362827,4/30/2016,50497466,110776,167638,38258
30,260,0,24.0,27373524,5/1/2016,50526486,29020,167721,10697
31,967,0,152.0,27412060,5/2/2016,50610904,84418,167842,38536
32,350,0,45.0,27434918,5/3/2016,50668556,57652,167987,22858
33,449,0,84.0,27466537,5/4/2016,50736518,67962,168111,31619
34,970,0,107.0,27506440,5/5/2016,50817268,80750,168262,39903
35,275,0,45.0,27525300,5/6/2016,50859337,42069,168326,18860
36,2293,0,133.0,27556378,5/7/2016,50938314,78977,168427,31078
37,2773,0,157.0,27587575,5/8/2016,51022778,84464,168582,31197
38,1389,0,195.0,27633299,5/9/2016,51125849,103071,168779,45724
39,876,0,133.0,27678148,5/10/2016,51215604,89755,168979,44849
40,1531,0,147.0,27729329,5/11/2016,51321743,106139,169209,51181
41,1971,0,169.0,27781602,5/12/2016,51437566,115823,169407,52273
42,855,0,92.0,27813993,5/13/2016,51505883,68317,169570,32391
43,4186,0,212.0,27856056,5/14/2016,51614690,108807,169769,42063
44,1865,0,116.0,27884718,5/15/2016,51679547,64857,169933,28662
45,1362,0,186.0,27927505,5/16/2016,51774338,94791,170102,42787
46,1012,0,154.0,27970901,5/17/2016,51855082,80744,170276,43396
47,1120,0,121.0,28015704,5/18/2016,51948402,93320,170465,44803
48,1471,151,0.0,28064888,5/19/2016,52052693,104291,170680,49184
49,2349,184,0.0,28117432,5/20/2016,52170885,118192,170960,52544
50,2174,138,0.0,28147956,5/21/2016,52243548,72663,171147,30524
51,3159,131,0.0,28185760,5/22/2016,52341818,98270,171349,37804
52,1549,177,0.0,28234338,5/23/2016,52450890,109072,171680,48578
53,696,98,0.0,28269137,5/24/2016,52519046,68156,171898,34799
54,1702,191,0.0,28322578,5/25/2016,52644849,125803,172154,53441
55,1646,195,0.0,28374712,5/26/2016,52769600,124751,172386,52134
56,1988,221,0.0,28421655,5/27/2016,52876368,106768,172638,46943
57,3634,296,0.0,28455888,5/28/2016,52972265,95897,172831,34233
58,4820,161,0.0,28492769,5/29/2016,53086334,114069,173090,36881
59,2782,134,0.0,28525396,5/30/2016,53180575,94241,173422,32627
60,1492,212,0.0,28575170,5/31/2016,53286634,106059,174137,49774
61,1513,156,0.0,28629832,6/1/2016,53413777,127143,174344,54662
62,1649,162,0.0,28684233,6/2/2016,53538695,124918,174516,54401
63,1023,118,0.0,28723208,6/3/2016,53623987,85292,174633,38975
64,3824,159,0.0,28764181,6/4/2016,53731597,107610,174797,40973
65,1133,57,0.0,28786576,6/5/2016,53785917,54320,174912,22395
66,1861,208,0.0,28838706,6/6/2016,53909796,123879,175118,52130
67,1331,127,0.0,28890467,6/7/2016,54024557,114761,175293,51761
68,673,74,0.0,28932530,6/8/2016,54114017,89460,175420,42063
69,1556,168,0.0,28985415,6/9/2016,54241602,127585,175557,52885
70,2022,207,0.0,29038650,6/10/2016,54360745,119143,175697,53235
